practitioner_id,source_practitioner_id,organization_id,specialty_id,first_name,last_name,practitioner_role,synthetic_npi,internal_flag,active_flag,created_at,updated_at
PRC0067,EXT-PRC00067,ORG013,SPC007,Cameron,Walker,Specialist,9999901067,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0068,EXT-PRC00068,ORG014,SPC008,Alex,Singh,Specialist,9999901068,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0069,EXT-PRC00069,ORG015,SPC009,Casey,Kim,Specialist,9999901069,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0070,EXT-PRC00070,ORG016,SPC010,Avery,Morris,Specialist,9999901070,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0071,EXT-PRC00071,ORG017,SPC001,Finley,Carter,Specialist,9999901071,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0072,EXT-PRC00072,ORG018,SPC002,Jordan,Singh,Specialist,9999901072,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0073,EXT-PRC00073,ORG019,SPC003,Avery,Adams,Specialist,9999901073,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0074,EXT-PRC00074,ORG020,SPC004,Jamie,Johnson,Specialist,9999901074,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0075,EXT-PRC00075,ORG021,SPC005,Rowan,Adams,Specialist,9999901075,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0076,EXT-PRC00076,ORG022,SPC006,Alex,Singh,Specialist,9999901076,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0077,EXT-PRC00077,ORG023,SPC007,Casey,Singh,Specialist,9999901077,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0078,EXT-PRC00078,ORG024,SPC008,Avery,Edwards,Specialist,9999901078,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0079,EXT-PRC00079,ORG025,SPC009,Emerson,Walker,Specialist,9999901079,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0080,EXT-PRC00080,ORG026,SPC010,Finley,Bennett,Specialist,9999901080,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0081,EXT-PRC00081,ORG027,SPC001,Taylor,Diaz,Specialist,9999901081,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0082,EXT-PRC00082,ORG028,SPC002,Reese,Garcia,Specialist,9999901082,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0083,EXT-PRC00083,ORG029,SPC003,Rowan,Garcia,Specialist,9999901083,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0084,EXT-PRC00084,ORG030,SPC004,Cameron,Diaz,Specialist,9999901084,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0085,EXT-PRC00085,ORG031,SPC005,Logan,Foster,Specialist,9999901085,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0086,EXT-PRC00086,ORG007,SPC001,Taylor,Lewis,Specialist,9999901086,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0087,EXT-PRC00087,ORG008,SPC002,Taylor,Irwin,Specialist,9999901087,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0088,EXT-PRC00088,ORG009,SPC003,Quinn,Edwards,Specialist,9999901088,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0089,EXT-PRC00089,ORG010,SPC004,Quinn,Nguyen,Specialist,9999901089,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0090,EXT-PRC00090,ORG011,SPC005,Morgan,Reed,Specialist,9999901090,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0091,EXT-PRC00091,ORG012,SPC006,Taylor,Diaz,Specialist,9999901091,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0092,EXT-PRC00092,ORG013,SPC007,Jamie,Singh,Specialist,9999901092,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0093,EXT-PRC00093,ORG014,SPC008,Drew,Owens,Specialist,9999901093,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0094,EXT-PRC00094,ORG015,SPC009,Parker,Foster,Specialist,9999901094,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0095,EXT-PRC00095,ORG016,SPC010,Jordan,Nguyen,Specialist,9999901095,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0096,EXT-PRC00096,ORG017,SPC001,Taylor,Kim,Specialist,9999901096,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0097,EXT-PRC00097,ORG018,SPC002,Morgan,Carter,Specialist,9999901097,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0098,EXT-PRC00098,ORG019,SPC003,Avery,Walker,Specialist,9999901098,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0099,EXT-PRC00099,ORG020,SPC004,Quinn,Carter,Specialist,9999901099,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0100,EXT-PRC00100,ORG021,SPC005,Finley,Reed,Specialist,9999901100,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0101,EXT-PRC00101,ORG022,SPC006,Drew,Foster,Specialist,9999901101,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0102,EXT-PRC00102,ORG023,SPC007,Quinn,Adams,Specialist,9999901102,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0103,EXT-PRC00103,ORG024,SPC008,Casey,Morris,Specialist,9999901103,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0104,EXT-PRC00104,ORG025,SPC009,Reese,Kim,Specialist,9999901104,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0105,EXT-PRC00105,ORG026,SPC010,Jamie,Turner,Specialist,9999901105,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0106,EXT-PRC00106,ORG027,SPC001,Taylor,Diaz,Specialist,9999901106,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0107,EXT-PRC00107,ORG028,SPC002,Skyler,Kim,Specialist,9999901107,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0108,EXT-PRC00108,ORG029,SPC003,Jordan,Turner,Specialist,9999901108,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0109,EXT-PRC00109,ORG030,SPC004,Taylor,Turner,Specialist,9999901109,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
PRC0110,EXT-PRC00110,ORG031,SPC005,Parker,Garcia,Specialist,9999901110,0,1,2025-07-01 12:00:00,2025-07-01 12:00:00
